"year","name_of_company","statistical_region","waste_code","type_of_waste","waste_category","waste_stored_start_year","waste_stored_end_year"
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,37.702
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",100.563,133.894
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",0,20.33
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",16.704,15.409
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,375.391
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",238.826,58.496
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",38.343,14.96
2019,"EKOL, zbiranje in predelava sekundarnih surovin, d.o.o.","GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",0.678,0
2019,"ELEMENT 29, storitve, d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4.005,0
2019,"ELEMENT 29, storitve, d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0,0
2019,"ELEMENT 29, storitve, d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1.62,0
2019,"FMG VZDRŽEVANJE, poslovne storitve in trgovina d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,0
2019,"FMG VZDRŽEVANJE, poslovne storitve in trgovina d.o.o.","OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",23.29,25.212
2019,"JE-EMB, proizvodnja in prodaja lesene embalaže, d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",7,5.5
2019,"Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.","PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",64.085,0
2019,"Javno podjetje center za ravnanje z odpadki Puconci d.o.o.","POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",46.292,89.868
2019,"Javno podjetje center za ravnanje z odpadki Puconci d.o.o.","POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",31.204,123.388
2019,"Javno podjetje center za ravnanje z odpadki Puconci d.o.o.","POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",0,22.96
