"year","name_of_municipality","number_of_households_in_municipality","number_of_households_composting","percentage_of_households_composting"
2023,"ŠENTILJ",3499,2529,72.28
2023,"ŠENTJERNEJ",2546,1040,40.85
2023,"ŠENTJUR",7783,14640,188.1
2023,"ŠKOCJAN",1201,967,80.52
2023,"ŠKOFJA LOKA",8439,4870,57.71
2023,"ŠKOFLJICA",4245,688,16.21
2023,"ŠMARJE PRI JELŠAH",4049,3717,91.8
2023,"ŠTORE",1960,2472,126.12
2023,"TOLMIN",4590,140,3.05
2023,"TRBOVLJE",7334,838,11.43
2023,"TREBNJE",5057,4272,84.48
2023,"TRŽIČ",5921,1752,29.59
2023,"TURNIŠČE",1095,939,85.75
2023,"VELIKE LAŠČE",1669,1963,117.62
2023,"VIDEM",2438,1455,59.68
2023,"VIPAVA",2089,546,26.14
2023,"VITANJE",871,834,95.75
2023,"VODICE",1714,1528,89.15
2023,"VOJNIK",3576,6837,191.19
2023,"VRHNIKA",6478,1376,21.24
2023,"VUZENICA",1088,717,65.9
2023,"ZAGORJE OB SAVI",6449,2787,43.22
2023,"ZAVRČ",680,493,72.5
2023,"ZREČE",2662,2327,87.42
2023,"ŽELEZNIKI",2123,1410,66.42
2023,"ŽIRI",1778,1470,82.68
2023,"BENEDIKT",942,725,76.96
2023,"BISTRICA OB SOTLI",531,515,96.99
2023,"BLOKE",652,561,86.04
2023,"BRASLOVČE",2146,4207,196.04
2023,"CANKOVA",654,636,97.25
2023,"CERKVENJAK",855,716,83.74
2023,"DOBJE",367,941,256.4
2023,"DOBRNA",845,1754,207.57
2023,"DOBROVNIK",534,510,95.51
2023,"DOLENJSKE TOPLICE",1374,1081,78.68
2023,"GRAD",797,757,94.98
2023,"HAJDINA",1650,767,46.48
2023,"HOČE-SLIVNICA",4994,1677,33.58
2023,"HODOŠ",110,107,97.27
2023,"HORJUL",936,655,69.98
2023,"JEZERSKO",255,255,100
2023,"KOMENDA",2238,765,34.18
2023,"KOSTEL",346,346,100
2023,"KRIŽEVCI",1284,984,76.64
2023,"LOVRENC NA POHORJU",1292,809,62.62
2023,"MARKOVCI",1491,1027,68.88
2023,"MIKLAVŽ NA DRAVSKEM POLJU",2989,442,14.79
2023,"MIRNA PEČ",1066,828,77.67
2023,"OPLOTNICA",1534,934,60.89
2023,"PODLEHNIK",796,680,85.43
2023,"POLZELA",2412,3826,158.62
2023,"PREBOLD",2117,2973,140.43
2023,"PREVALJE",2845,1163,40.88
2023,"RAZKRIŽJE",486,380,78.19
2023,"RIBNICA NA POHORJU",509,326,64.05
2023,"SELNICA OB DRAVI",1945,1062,54.6
2023,"SODRAŽICA",826,770,93.22
2023,"SVETA ANA",799,699,87.48
2023,"SVETI ANDRAŽ V SLOV. GORICAH",450,305,67.78
2023,"ŠEMPETER-VRTOJBA",2586,394,15.24
2023,"TABOR",638,1387,217.4
2023,"TRNOVSKA VAS",473,348,73.57
2023,"VELIKA POLANA",514,422,82.1
2023,"VERŽEJ",508,389,76.57
2023,"VRANSKO",977,2008,205.53
2023,"ŽALEC",8969,11425,127.38
2023,"ŽETALE",489,355,72.6
2023,"ŽIROVNICA",1645,1380,83.89
2023,"ŽUŽEMBERK",1737,1411,81.23
2023,"ŠMARTNO PRI LITIJI",1928,1750,90.77
2023,"APAČE",1383,997,72.09
2023,"CIRKULANE",1049,760,72.45
2023,"MAKOLE",848,708,83.49
2023,"MOKRONOG-TREBELNO",1189,1341,112.78
2023,"POLJČANE",1811,859,47.43
2023,"RENČE-VOGRSKO",1652,260,15.74
2023,"SREDIŠČE OB DRAVI",799,693,86.73
2023,"STRAŽA",1491,1240,83.17
2023,"SVETA TROJICA V SLOVENSKIH GORICAH",842,643,76.37
2023,"SVETI TOMAŽ",771,720,93.39
2023,"ŠMARJEŠKE TOPLICE",1331,1040,78.14
2023,"GORJE",1085,174,16.04
2023,"LOG-DRAGOMER",5132,140,2.73
2023,"REČICA OB SAVINJI",954,636,66.67
2023,"SVETI JURIJ V SLOVENSKIH GORICAH",714,615,86.13
2023,"ŠENTRUPERT",949,1145,120.65
2023,"MIRNA",1086,950,87.48
2023,"ANKARAN",1482,142,9.58
