"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_given_away","waste_handed_to_collectors_RS","waste_delivered_to_operators_RS","waste_sent_to_EU","waste_sent_to_non_EU","waste_delivered_to_collectors_warehouse"
2024,"PODRAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",3.32,0,1.32,0,0,2
2024,"PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2322.409,196.28,2089.467,0,0,36.662
2024,"PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",858.723,242.94,601.463,0,0,14.32
2024,"PODRAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",627.412,11.8,209.647,0,0,405.965
2024,"PODRAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",19.02,0,0,19.02,0,0
2024,"PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",8140.543,1230.207,6359.884,468.149,0,82.303
2024,"PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",10563.096,0,10381.776,0,0,181.32
2024,"PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",17283.494,0,16489.487,0,0,794.007
2024,"POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1171.446,0,1171.446,0,0,0
2024,"POMURSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",193.976,0,185.584,0,0,8.392
2024,"POMURSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",94.32,0,94.32,0,0,0
2024,"POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2022.097,101.76,1906.182,0,0,14.155
2024,"POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1102.2,0,1102.2,0,0,0
2024,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3921.91,0,3912.579,0,0,9.331
2024,"POSAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",23.444,0,23.444,0,0,0
2024,"POSAVSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",1.797,0,1.797,0,0,0
2024,"POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4159.608,100.605,4026.101,0,0,32.902
2024,"POSAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2841.8,8.88,2781.92,0,0,51
2024,"POSAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",25.116,0,25.116,0,0,0
2024,"POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1834.972,239.494,1547.327,0,0,48.151
2024,"POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3160.64,0,3154.64,0,0,6
2024,"POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3164.82,0,3161.82,0,0,3
2024,"PRIMORSKO-NOTRANJSKA","03 01 01","Bark and Cork Waste (03 01 01)","Wood/Paper Production Waste",2.46,0,0,0,0,2.46
2024,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",422.761,1.422,421.339,0,0,0
2024,"PRIMORSKO-NOTRANJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0.06,0,0,0,0,0.06
2024,"PRIMORSKO-NOTRANJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",658.329,275.328,383.001,0,0,0
2024,"PRIMORSKO-NOTRANJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1421.17,0,1421.17,0,0,0
2024,"PRIMORSKO-NOTRANJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2198.09,0,2198.09,0,0,0
2024,"SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",146.88,0,131.32,0,0,15.56
2024,"SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2601.869,27.37,2553.413,0,0,21.086
2024,"SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",308.94,0,307.6,0,0,1.34
2024,"SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",620.75,0,603.64,0,0,17.11
2024,"SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3295.695,248.837,3024.852,0,0,22.006
2024,"SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",4532.15,0,4180.05,0,0,352.1
2024,"SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",12573.687,0,12573.313,0,0,0.374
2024,"ZASAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1181.225,112.297,1063.474,0,0,5.454
2024,"ZASAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",231.857,0,230.537,0,0,1.32
