"year","statistical_region","collection_centre","waste_code","type_of_waste","waste_category","waste_collected_by_centre"
2024,"GORENJSKA","PREDDVOR","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",7.489
2024,"GORENJSKA","Rečiška cesta 2, 4260 Bled","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",114.47
2024,"GORENJSKA","Rečiška cesta 2, 4260 Bled","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",407.955
2024,"GORENJSKA","Rečiška cesta 2, 4260 Bled","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",547.42
2024,"GORENJSKA","Rečiška cesta 2, 4260 Bled","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",239.98
2024,"GORENJSKA","Režijski obrat Občine Bohinj, Bohinjska Bistrica","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",116.364
2024,"GORENJSKA","Režijski obrat Občine Bohinj, Bohinjska Bistrica","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",47.764
2024,"GORENJSKA","Režijski obrat Občine Bohinj, Bohinjska Bistrica","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",251.9
2024,"GORENJSKA","Režijski obrat Občine Bohinj, Bohinjska Bistrica","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",293.35
2024,"GORENJSKA","SEDEŽ; LJUBLJANSKA CESTA 27, 4240 RADOVLJICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0.68
2024,"GORENJSKA","SEDEŽ; TRATA 34, 4220 ŠKOFJA LOKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",10.5
2024,"GORENJSKA","SEDEŽ; TRATA 34, 4220 ŠKOFJA LOKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",6.52
2024,"GORENJSKA","STUDENO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",65.191
2024,"GORENJSKA","STUDENO","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",24.16
2024,"GORENJSKA","STUDENO","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",21.297
2024,"GORENJSKA","STUDENO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",69.18
2024,"GORENJSKA","TRŽIČ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",292.259
2024,"GORENJSKA","TRŽIČ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",8.27
2024,"GORENJSKA","TRŽIČ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",470.26
2024,"GORENJSKA","TRŽIČ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",379.2
2024,"GORENJSKA","Tabre","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",156.647
2024,"GORENJSKA","Tabre","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",6.131
2024,"GORENJSKA","Tabre","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",184.98
2024,"GORENJSKA","Tabre","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",256.32
2024,"GORENJSKA","Tržič; LOKA 119, 4290 TRŽIČ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",6.38
2024,"GORENJSKA","ZBIRNI CENTER JESENICE, ŽIROVNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",164.361
2024,"GORENJSKA","ZBIRNI CENTER JESENICE, ŽIROVNICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",312.786
2024,"GORENJSKA","ZBIRNI CENTER JESENICE, ŽIROVNICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1154.57
2024,"GORENJSKA","ZBIRNI CENTER JESENICE, ŽIROVNICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",934.19
2024,"GORENJSKA","ZC DRAGA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",9.44
2024,"GORENJSKA","ZC DRAGA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",21.92
2024,"GORENJSKA","ZC Žiri","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",17.867
2024,"GORENJSKA","ZC Žiri","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",85.291
2024,"GORENJSKA","ZC Žiri","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",131.62
2024,"GORENJSKA","ZC Žiri","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",52.06
2024,"GORENJSKA","Zbirni center Radovljica; SAVSKA CESTA 28, 4240 RADOVLJICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",293.051
2024,"GORENJSKA","Zbirni center Radovljica; SAVSKA CESTA 28, 4240 RADOVLJICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",325.451
2024,"GORENJSKA","Zbirni center Radovljica; SAVSKA CESTA 28, 4240 RADOVLJICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",752.38
2024,"GORENJSKA","Zbirni center Radovljica; SAVSKA CESTA 28, 4240 RADOVLJICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",781.42
2024,"GORENJSKA","Zbirni center odpadkov Gorenja vas","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",187.18
2024,"GORENJSKA","ŠENČUR","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",121.347
2024,"GORENJSKA","ŠENČUR","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3.8
2024,"GORENJSKA","ŠENČUR","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",37.965
2024,"GORENJSKA","ŠENČUR","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",188.64
2024,"GORENJSKA","ŠENČUR","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",67.407
2024,"GORIŠKA","CERO Ajdovščina; DOLGA POLJANA 1I, 5271 VIPAVA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",242.53
2024,"GORIŠKA","CERO Ajdovščina; DOLGA POLJANA 1I, 5271 VIPAVA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",23.1
2024,"GORIŠKA","CERO Ajdovščina; DOLGA POLJANA 1I, 5271 VIPAVA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",490.146
2024,"GORIŠKA","CERO Ajdovščina; DOLGA POLJANA 1I, 5271 VIPAVA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",746.95
2024,"GORIŠKA","CERO Ajdovščina; DOLGA POLJANA 1I, 5271 VIPAVA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",125.725
2024,"GORIŠKA","Ljubevč","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",166.296
2024,"GORIŠKA","Ljubevč","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",286.26
2024,"GORIŠKA","Ljubevč","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",415.78
2024,"GORIŠKA","Ljubevč","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",525.06
2024,"GORIŠKA","SEDEŽ - Zbirni center Zipos d.o.o.; POLJUBINJ 98A, 5220 TOLMIN","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",21.26
2024,"GORIŠKA","Skladišče Nova Gorica; CESTA IX. KORPUSA 110, 5250 SOLKAN","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",0.868
2024,"GORIŠKA","Srpenica","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",10.25
2024,"GORIŠKA","ZBIRNI CENTER VOLČE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",248.438
2024,"GORIŠKA","ZBIRNI CENTER VOLČE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",309.045
2024,"GORIŠKA","ZBIRNI CENTER VOLČE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",562.54
2024,"GORIŠKA","ZBIRNI CENTER VOLČE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",249.8
2024,"GORIŠKA","ZC CERO Nova Gorica; ULICA PARTIZANSKE TEHNIKE 6, 5000 NOVA GORICA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",30.79
2024,"GORIŠKA","ZC CERO Nova Gorica; ULICA PARTIZANSKE TEHNIKE 6, 5000 NOVA GORICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1706.457
2024,"GORIŠKA","ZC CERO Nova Gorica; ULICA PARTIZANSKE TEHNIKE 6, 5000 NOVA GORICA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",198.847
2024,"GORIŠKA","ZC CERO Nova Gorica; ULICA PARTIZANSKE TEHNIKE 6, 5000 NOVA GORICA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",66.26
2024,"GORIŠKA","ZC CERO Nova Gorica; ULICA PARTIZANSKE TEHNIKE 6, 5000 NOVA GORICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",871.24
2024,"GORIŠKA","ZC CERO Nova Gorica; ULICA PARTIZANSKE TEHNIKE 6, 5000 NOVA GORICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1626.98
2024,"GORIŠKA","ZC CERO Nova Gorica; ULICA PARTIZANSKE TEHNIKE 6, 5000 NOVA GORICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1988.927
2024,"GORIŠKA","ZC VRTOJBA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",61.392
2024,"GORIŠKA","ZC VRTOJBA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",86.655
2024,"GORIŠKA","ZC VRTOJBA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",178.61
2024,"GORIŠKA","ZC VRTOJBA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",55.39
2024,"JUGOVZHODNA SLOVENIJA","32372, PCRO Vranoviči","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",159.298
2024,"JUGOVZHODNA SLOVENIJA","32372, PCRO Vranoviči","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",109.94
2024,"JUGOVZHODNA SLOVENIJA","32372, PCRO Vranoviči","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",405.04
2024,"JUGOVZHODNA SLOVENIJA","32372, PCRO Vranoviči","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",677.48
2024,"JUGOVZHODNA SLOVENIJA","Bočka","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",166.255
2024,"JUGOVZHODNA SLOVENIJA","Bočka","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",5.06
2024,"JUGOVZHODNA SLOVENIJA","Bočka","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",328.22
2024,"JUGOVZHODNA SLOVENIJA","Bočka","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",336.33
2024,"JUGOVZHODNA SLOVENIJA","Dolenjske Toplice","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",49.203
2024,"JUGOVZHODNA SLOVENIJA","Dolenjske Toplice","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",12.6
2024,"JUGOVZHODNA SLOVENIJA","Dolenjske Toplice","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",75.456
2024,"JUGOVZHODNA SLOVENIJA","Dolenjske Toplice","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",90.229
2024,"JUGOVZHODNA SLOVENIJA","Goriča vas","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",170.759
2024,"JUGOVZHODNA SLOVENIJA","Goriča vas","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",10.956
2024,"JUGOVZHODNA SLOVENIJA","Goriča vas","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",302.96
2024,"JUGOVZHODNA SLOVENIJA","Goriča vas","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",409.9
2024,"JUGOVZHODNA SLOVENIJA","Mali Log","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",49.32
2024,"JUGOVZHODNA SLOVENIJA","Novo mesto","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",726.192
2024,"JUGOVZHODNA SLOVENIJA","Novo mesto","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",185.974
2024,"JUGOVZHODNA SLOVENIJA","Novo mesto","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1092.63
2024,"JUGOVZHODNA SLOVENIJA","Novo mesto","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1306.552
2024,"JUGOVZHODNA SLOVENIJA","PE Žaga Laze; LAZE 26, 8323 URŠNA SELA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",206.809
2024,"JUGOVZHODNA SLOVENIJA","PE Žaga Laze; LAZE 26, 8323 URŠNA SELA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",541.46
2024,"JUGOVZHODNA SLOVENIJA","Skladišče Kočevje; NOVOMEŠKA CESTA 8, 1330 KOČEVJE","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",38.02
2024,"JUGOVZHODNA SLOVENIJA","ZBIRNI CENTER na lokaciji Industrijske cone Kanižarica","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",20.04
2024,"JUGOVZHODNA SLOVENIJA","ZBIRNI CENTER na lokaciji Industrijske cone Kanižarica","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",6.04
2024,"JUGOVZHODNA SLOVENIJA","Zbirni center Globoko in odlagališče Globoko; Hudeje 40, 8210 Trebnje","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",351.616
2024,"JUGOVZHODNA SLOVENIJA","Zbirni center Globoko in odlagališče Globoko; Hudeje 40, 8210 Trebnje","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",465.06
2024,"JUGOVZHODNA SLOVENIJA","Zbirni center Globoko in odlagališče Globoko; Hudeje 40, 8210 Trebnje","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",224.92
2024,"JUGOVZHODNA SLOVENIJA","Zbirni center Mozelj","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",309.982
2024,"JUGOVZHODNA SLOVENIJA","Zbirni center Mozelj","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",66.624
2024,"JUGOVZHODNA SLOVENIJA","Zbirni center Mozelj","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",422.24
2024,"JUGOVZHODNA SLOVENIJA","Zbirni center Mozelj","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",799.42
2024,"JUGOVZHODNA SLOVENIJA","Zbirni center Mrtvice; MRTVICE 10, 1332 STARA CERKEV","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",8.97
2024,"JUGOVZHODNA SLOVENIJA","Zbirni center Mrtvice; MRTVICE 10, 1332 STARA CERKEV","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",5.38
2024,"JUGOVZHODNA SLOVENIJA","Šentjernej","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",92.658
2024,"JUGOVZHODNA SLOVENIJA","Šentjernej","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",23.729
2024,"JUGOVZHODNA SLOVENIJA","Šentjernej","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",153.745
2024,"JUGOVZHODNA SLOVENIJA","Šentjernej","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",183.845
2024,"JUGOVZHODNA SLOVENIJA","Žužemberk","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",57.472
2024,"JUGOVZHODNA SLOVENIJA","Žužemberk","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",14.718
2024,"JUGOVZHODNA SLOVENIJA","Žužemberk","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",96.589
2024,"JUGOVZHODNA SLOVENIJA","Žužemberk","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",115.5
2024,"KOROŠKA","Dobja vas","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",173.03
2024,"KOROŠKA","Dobja vas","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",211.494
2024,"KOROŠKA","Dobja vas","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",956.42
2024,"KOROŠKA","Otiški Vrh","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",61.08
2024,"KOROŠKA","Otiški Vrh","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",74.65
2024,"KOROŠKA","Otiški Vrh","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",400.4
2024,"KOROŠKA","Pameče","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",171.37
2024,"KOROŠKA","Pameče","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",214.3
2024,"KOROŠKA","Pameče","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1072.26
2024,"KOROŠKA","Radlje ob Dravi","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",86.95
2024,"KOROŠKA","Radlje ob Dravi","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",106.27
2024,"KOROŠKA","Radlje ob Dravi","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",359.64
2024,"KOROŠKA","Skladišče Dravograd; OTIŠKI VRH 25E, 2373 ŠENTJANŽ PRI DRAVOGRADU","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",11.5
2024,"KOROŠKA","Skladišče Dravograd; OTIŠKI VRH 25E, 2373 ŠENTJANŽ PRI DRAVOGRADU","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",899.089
2024,"KOROŠKA","Skladišče Dravograd; OTIŠKI VRH 25E, 2373 ŠENTJANŽ PRI DRAVOGRADU","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",546.457
2024,"KOROŠKA","Skladišče Dravograd; OTIŠKI VRH 25E, 2373 ŠENTJANŽ PRI DRAVOGRADU","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",64.56
2024,"KOROŠKA","Skladišče Dravograd; OTIŠKI VRH 25E, 2373 ŠENTJANŽ PRI DRAVOGRADU","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",2.842
2024,"KOROŠKA","Skladišče Dravograd; OTIŠKI VRH 25E, 2373 ŠENTJANŽ PRI DRAVOGRADU","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",289.348
2024,"KOROŠKA","Skladišče Dravograd; OTIŠKI VRH 25E, 2373 ŠENTJANŽ PRI DRAVOGRADU","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",35.88
2024,"KOROŠKA","Skladišče Dravograd; OTIŠKI VRH 25E, 2373 ŠENTJANŽ PRI DRAVOGRADU","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2.1
2024,"KOROŠKA","občina Dravograd (odpadki od poplav)","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",8237.26
2024,"OBALNO-KRAŠKA","CERO Sežana","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",321.026
2024,"OBALNO-KRAŠKA","CERO Sežana","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",496.09
2024,"OBALNO-KRAŠKA","CERO Sežana","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",594.76
2024,"OBALNO-KRAŠKA","CERO Sežana","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",172.36
2024,"OBALNO-KRAŠKA","Center za ravnanje z odpadki, sedež; VOJKOVO NABREŽJE 38, 6000 KOPER - CAPODISTRIA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",18.98
2024,"OBALNO-KRAŠKA","Center za ravnanje z odpadki, sedež; VOJKOVO NABREŽJE 38, 6000 KOPER - CAPODISTRIA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",125.98
2024,"OBALNO-KRAŠKA","Center za ravnanje z odpadki, sedež; VOJKOVO NABREŽJE 38, 6000 KOPER - CAPODISTRIA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1567.84
2024,"OBALNO-KRAŠKA","Center za ravnanje z odpadki, sedež; VOJKOVO NABREŽJE 38, 6000 KOPER - CAPODISTRIA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",167.893
2024,"OBALNO-KRAŠKA","DVORI","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",168.19
2024,"OBALNO-KRAŠKA","Dragonja","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",508.723
2024,"OBALNO-KRAŠKA","Dragonja","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",223.343
2024,"OBALNO-KRAŠKA","Dragonja","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",736.34
2024,"OBALNO-KRAŠKA","Dragonja","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1551.64
2024,"OBALNO-KRAŠKA","SERMIN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",942.987
2024,"OBALNO-KRAŠKA","SERMIN","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",842.617
2024,"OBALNO-KRAŠKA","SERMIN","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1765.61
2024,"OBALNO-KRAŠKA","SERMIN","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",357.81
2024,"OBALNO-KRAŠKA","Zbirni center Izola","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",262.361
2024,"OBALNO-KRAŠKA","Zbirni center Izola","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",362.75
2024,"OBALNO-KRAŠKA","Zbirni center Izola","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",711.1
2024,"OBALNO-KRAŠKA","Zbirni center Izola","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",304.46
2024,"OSREDNJESLOVENSKA","CERO ŠPAJA DOLINA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",332.27
2024,"OSREDNJESLOVENSKA","CERO ŠPAJA DOLINA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",74.35
2024,"OSREDNJESLOVENSKA","CERO ŠPAJA DOLINA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",883.97
2024,"OSREDNJESLOVENSKA","CERO ŠPAJA DOLINA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",875.47
2024,"OSREDNJESLOVENSKA","CERO ŠPAJA DOLINA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",769.63
2024,"OSREDNJESLOVENSKA","CRO DOB","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",875.604
2024,"OSREDNJESLOVENSKA","CRO DOB","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",888.827
2024,"OSREDNJESLOVENSKA","CRO DOB","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2665.41
2024,"OSREDNJESLOVENSKA","CRO DOB","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1898.38
2024,"OSREDNJESLOVENSKA","Center za ravnanje z odpadki Suhadole; SUHADOLE 101, 1218 KOMENDA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",201.317
2024,"OSREDNJESLOVENSKA","Center za ravnanje z odpadki Suhadole; SUHADOLE 101, 1218 KOMENDA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1207.968
2024,"OSREDNJESLOVENSKA","Center za ravnanje z odpadki Suhadole; SUHADOLE 101, 1218 KOMENDA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",561.32
