"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_collected","total_waste_collected_including_warehouse","waste_from_producers_no_record","waste_from_producers_with_record","waste_from_collectors_RS","waste_from_processors_RS","waste_collected_from_collectors_warehouse"
2024,"POSAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",23.444,23.444,0,23.444,0,0,0
2024,"POSAVSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",1.797,1.797,0,1.797,0,0,0
2024,"POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4145.859,4159.608,723.61,3293.267,128.982,0,13.749
2024,"POSAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2816.99,2841.8,12.79,2662.136,8.88,133.184,24.81
2024,"POSAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",25.116,25.116,0,25.116,0,0,0
2024,"POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1789.914,1834.972,1425.283,141.877,222.754,0,45.058
2024,"POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3153.34,3160.64,2251.842,865.018,36.48,0,7.3
2024,"POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3160.74,3164.82,3100.98,59.76,0,0,4.08
2024,"PRIMORSKO-NOTRANJSKA","03 01 01","Bark and Cork Waste (03 01 01)","Wood/Paper Production Waste",0,2.46,0,0,0,0,2.46
2024,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",489.452,489.452,480.955,8.497,0,0,0
2024,"PRIMORSKO-NOTRANJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,0.06,0,0,0,0,0.06
2024,"PRIMORSKO-NOTRANJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",658.329,658.329,500.959,157.37,0,0,0
2024,"PRIMORSKO-NOTRANJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1421.17,1421.17,1332.22,88.95,0,0,0
2024,"PRIMORSKO-NOTRANJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2198.09,2198.09,2013.91,184.18,0,0,0
2024,"SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",146.88,146.88,0,146.88,0,0,0
2024,"SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2585.077,2601.869,2572.149,12.928,0,0,16.792
2024,"SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",248.74,308.94,5.58,0.22,242.94,0,60.2
2024,"SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",546.92,620.75,0,546.92,0,0,73.83
2024,"SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3266.36,3295.695,2995.722,224.598,0,46.04,29.335
2024,"SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",4468.96,4532.15,4468.96,0,0,0,63.19
2024,"SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",12573.313,12573.687,12387.549,144.824,0,40.94,0.374
2024,"ZASAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1167.297,1181.225,560.072,451.538,155.687,0,13.928
2024,"ZASAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",205.788,231.857,0,205.788,0,0,26.069
2024,"ZASAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",7.04,7.04,0,7.04,0,0,0
2024,"ZASAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",373.502,405.304,258.089,113.823,1.59,0,31.802
2024,"ZASAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1182.9,1182.9,1180.98,1.92,0,0,0
2024,"ZASAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",629.83,629.83,624.14,5.69,0,0,0
