"year","statistical_region","name_of_municipality","waste_code","type_of_waste","waste_category","waste_collected_by_municipality"
2020,"GORENJSKA","KRANJSKA GORA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0.36
2020,"GORENJSKA","NAKLO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",30.08
2020,"GORENJSKA","PREDDVOR","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",12.592
2020,"GORENJSKA","RADOVLJICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",39.539
2020,"GORENJSKA","TRŽIČ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",23.545
2020,"GORENJSKA","ŠENČUR","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",53.165
2020,"GORENJSKA","ŠKOFJA LOKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",59.213
2020,"GORENJSKA","ŠKOFJA LOKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",349.86
2020,"GORENJSKA","ŽELEZNIKI","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",108.61
2020,"GORENJSKA","ŽIRI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",14.55
2020,"GORENJSKA","ŽIRI","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",141.81
2020,"GORENJSKA","ŽIRI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",87.92
2020,"GORIŠKA","AJDOVŠČINA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",43.513
2020,"GORIŠKA","AJDOVŠČINA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",59.68
2020,"GORIŠKA","AJDOVŠČINA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",353.914
2020,"GORIŠKA","BRDA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.558
2020,"GORIŠKA","CERKNO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",91.491
2020,"GORIŠKA","IDRIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",115.033
2020,"GORIŠKA","IDRIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",53.61
2020,"GORIŠKA","IDRIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",271.629
2020,"GORIŠKA","KANAL","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0.12
2020,"GORIŠKA","NOVA GORICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",118.891
2020,"GORIŠKA","NOVA GORICA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",196.54
2020,"GORIŠKA","NOVA GORICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",62.52
2020,"GORIŠKA","NOVA GORICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1957.39
2020,"GORIŠKA","NOVA GORICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1.36
2020,"GORIŠKA","TOLMIN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",81.19
2020,"GORIŠKA","TOLMIN","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",10.078
2020,"GORIŠKA","VIPAVA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",102.039
2020,"GORIŠKA","ŠEMPETER-VRTOJBA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3.427
2020,"JUGOVZHODNA SLOVENIJA","DOLENJSKE TOPLICE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",64.318
2020,"JUGOVZHODNA SLOVENIJA","KOČEVJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4.788
2020,"JUGOVZHODNA SLOVENIJA","LOŠKI POTOK","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",45.649
2020,"JUGOVZHODNA SLOVENIJA","METLIKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4.019
2020,"JUGOVZHODNA SLOVENIJA","METLIKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",502.883
2020,"JUGOVZHODNA SLOVENIJA","MIRNA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",28.808
2020,"JUGOVZHODNA SLOVENIJA","MIRNA PEČ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1.56
2020,"JUGOVZHODNA SLOVENIJA","MOKRONOG-TREBELNO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",35.302
2020,"JUGOVZHODNA SLOVENIJA","NOVO MESTO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",34.936
2020,"JUGOVZHODNA SLOVENIJA","NOVO MESTO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1049.016
2020,"JUGOVZHODNA SLOVENIJA","OSILNICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",5.9
2020,"JUGOVZHODNA SLOVENIJA","RIBNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2.948
2020,"JUGOVZHODNA SLOVENIJA","RIBNICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",323.2
2020,"JUGOVZHODNA SLOVENIJA","SEMIČ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",151.531
2020,"JUGOVZHODNA SLOVENIJA","SODRAŽICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",56.19
2020,"JUGOVZHODNA SLOVENIJA","STRAŽA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",9.386
2020,"JUGOVZHODNA SLOVENIJA","TREBNJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4.336
2020,"JUGOVZHODNA SLOVENIJA","TREBNJE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",119.915
2020,"JUGOVZHODNA SLOVENIJA","ČRNOMELJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.51
2020,"JUGOVZHODNA SLOVENIJA","ČRNOMELJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",496.951
2020,"JUGOVZHODNA SLOVENIJA","ŠENTJERNEJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",89.83
2020,"JUGOVZHODNA SLOVENIJA","ŠENTRUPERT","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",29.255
2020,"JUGOVZHODNA SLOVENIJA","ŠKOCJAN","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",9.42
2020,"JUGOVZHODNA SLOVENIJA","ŠMARJEŠKE TOPLICE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",5.717
2020,"JUGOVZHODNA SLOVENIJA","ŽUŽEMBERK","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",69.888
2020,"KOROŠKA","DRAVOGRAD","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",90.631
2020,"KOROŠKA","DRAVOGRAD","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",310.02
2020,"KOROŠKA","MEŽICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.886
2020,"KOROŠKA","MEŽICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",95.546
2020,"KOROŠKA","MISLINJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",25.575
2020,"KOROŠKA","MISLINJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",8.286
2020,"KOROŠKA","MISLINJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",196.652
2020,"KOROŠKA","MUTA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",62.892
2020,"KOROŠKA","PODVELKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",44.979
2020,"KOROŠKA","PREVALJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",12.55
2020,"KOROŠKA","PREVALJE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",172.757
2020,"KOROŠKA","RADLJE OB DRAVI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",38.317
2020,"KOROŠKA","RADLJE OB DRAVI","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",116.9
2020,"KOROŠKA","RADLJE OB DRAVI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",109.113
2020,"KOROŠKA","RAVNE NA KOROŠKEM","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",27.309
2020,"KOROŠKA","RAVNE NA KOROŠKEM","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",263.106
2020,"KOROŠKA","RAVNE NA KOROŠKEM","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",307.404
2020,"KOROŠKA","RIBNICA NA POHORJU","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",21.83
2020,"KOROŠKA","SLOVENJ GRADEC","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",137.819
2020,"KOROŠKA","SLOVENJ GRADEC","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",30.254
2020,"KOROŠKA","SLOVENJ GRADEC","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",727.228
2020,"KOROŠKA","VUZENICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",47.986
2020,"KOROŠKA","ČRNA NA KOROŠKEM","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.824
2020,"KOROŠKA","ČRNA NA KOROŠKEM","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",88.913
2020,"OBALNOKRAŠKA","ANKARAN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.364
2020,"OBALNOKRAŠKA","DIVAČA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1.188
2020,"OBALNOKRAŠKA","HRPELJE-KOZINA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3.172
2020,"OBALNOKRAŠKA","HRPELJE-KOZINA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.055
2020,"OBALNOKRAŠKA","IZOLA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",85.604
2020,"OBALNOKRAŠKA","IZOLA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",8.7
2020,"OBALNOKRAŠKA","KOMEN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1.459
2020,"OBALNOKRAŠKA","KOPER","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",126.628
2020,"OBALNOKRAŠKA","KOPER","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",7.73
2020,"OBALNOKRAŠKA","KOPER","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",774.45
2020,"OBALNOKRAŠKA","PIRAN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",168.063
2020,"OBALNOKRAŠKA","PIRAN","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",220.46
2020,"OBALNOKRAŠKA","SEŽANA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",77.555
2020,"OBALNOKRAŠKA","SEŽANA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",562.36
2020,"OSREDNJESLOVENSKA","BOROVNICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",61.605
2020,"OSREDNJESLOVENSKA","BREZOVICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5.688
2020,"OSREDNJESLOVENSKA","BREZOVICA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.32
2020,"OSREDNJESLOVENSKA","BREZOVICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",83.3
2020,"OSREDNJESLOVENSKA","BREZOVICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",199.78
2020,"OSREDNJESLOVENSKA","DOBREPOLJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.6
2020,"OSREDNJESLOVENSKA","DOBREPOLJE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",51.135
2020,"OSREDNJESLOVENSKA","DOBROVA-POLHOV GRADEC","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1.1
2020,"OSREDNJESLOVENSKA","DOBROVA-POLHOV GRADEC","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",51.2
2020,"OSREDNJESLOVENSKA","DOL PRI LJUBLJANI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4.536
2020,"OSREDNJESLOVENSKA","DOL PRI LJUBLJANI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",82.22
2020,"OSREDNJESLOVENSKA","DOMŽALE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",147.985
2020,"OSREDNJESLOVENSKA","DOMŽALE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",98.16
2020,"OSREDNJESLOVENSKA","DOMŽALE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1502.172
2020,"OSREDNJESLOVENSKA","GROSUPLJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",101.888
2020,"OSREDNJESLOVENSKA","GROSUPLJE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",36.52
2020,"OSREDNJESLOVENSKA","GROSUPLJE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",170.32
2020,"OSREDNJESLOVENSKA","GROSUPLJE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",425.121
2020,"OSREDNJESLOVENSKA","HORJUL","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4.96
2020,"OSREDNJESLOVENSKA","HORJUL","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1.64
2020,"OSREDNJESLOVENSKA","HORJUL","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",54.56
2020,"OSREDNJESLOVENSKA","IG","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",106.36
2020,"OSREDNJESLOVENSKA","IG","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",218.46
2020,"OSREDNJESLOVENSKA","IVANČNA GORICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.768
2020,"OSREDNJESLOVENSKA","IVANČNA GORICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",264.915
2020,"OSREDNJESLOVENSKA","KAMNIK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",10.418
2020,"OSREDNJESLOVENSKA","KOMENDA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",50.602
2020,"OSREDNJESLOVENSKA","KOMENDA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1030
2020,"OSREDNJESLOVENSKA","KOMENDA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0.08
2020,"OSREDNJESLOVENSKA","LJUBLJANA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1079.603
2020,"OSREDNJESLOVENSKA","LJUBLJANA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",34.16
2020,"OSREDNJESLOVENSKA","LJUBLJANA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2086.253
2020,"OSREDNJESLOVENSKA","LJUBLJANA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",5425.3
2020,"OSREDNJESLOVENSKA","LJUBLJANA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",7684.88
2020,"OSREDNJESLOVENSKA","LOG-DRAGOMER","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",52.326
2020,"OSREDNJESLOVENSKA","LOGATEC","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",95.99
2020,"OSREDNJESLOVENSKA","LOGATEC","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",15.11
2020,"OSREDNJESLOVENSKA","LOGATEC","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",7.44
2020,"OSREDNJESLOVENSKA","LUKOVICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5.398
2020,"OSREDNJESLOVENSKA","LUKOVICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",200.43
2020,"OSREDNJESLOVENSKA","MEDVODE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4.411
2020,"OSREDNJESLOVENSKA","MEDVODE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",230.24
2020,"OSREDNJESLOVENSKA","MEDVODE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",347.64
2020,"OSREDNJESLOVENSKA","MENGEŠ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3.626
2020,"OSREDNJESLOVENSKA","MENGEŠ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",300.434
2020,"OSREDNJESLOVENSKA","MORAVČE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",200.29
2020,"OSREDNJESLOVENSKA","TRZIN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",40.13
2020,"OSREDNJESLOVENSKA","TRZIN","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",4.12
2020,"OSREDNJESLOVENSKA","TRZIN","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",300.434
2020,"OSREDNJESLOVENSKA","VELIKE LAŠČE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",56.84
2020,"OSREDNJESLOVENSKA","VELIKE LAŠČE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",145.72
2020,"OSREDNJESLOVENSKA","VODICE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2.076
2020,"OSREDNJESLOVENSKA","VODICE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",82.2
2020,"OSREDNJESLOVENSKA","VODICE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",141.96
2020,"OSREDNJESLOVENSKA","VRHNIKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",157.417
2020,"OSREDNJESLOVENSKA","VRHNIKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",73.4
2020,"OSREDNJESLOVENSKA","VRHNIKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3.92
2020,"OSREDNJESLOVENSKA","VRHNIKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",669.888
2020,"OSREDNJESLOVENSKA","VRHNIKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",142.239
2020,"OSREDNJESLOVENSKA","ŠKOFLJICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",133.14
2020,"OSREDNJESLOVENSKA","ŠKOFLJICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",124.5
2020,"OSREDNJESLOVENSKA","ŠMARTNO PRI LITIJI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",512.24
2020,"PODRAVSKA","BENEDIKT","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.543
2020,"PODRAVSKA","BENEDIKT","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",46.51
2020,"PODRAVSKA","CERKVENJAK","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",21.04
2020,"PODRAVSKA","DUPLEK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.436
2020,"PODRAVSKA","HAJDINA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4.179
2020,"PODRAVSKA","HOČE-SLIVNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",13.572
2020,"PODRAVSKA","HOČE-SLIVNICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3.64
2020,"PODRAVSKA","KIDRIČEVO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1.64
2020,"PODRAVSKA","KIDRIČEVO","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",329.7
2020,"PODRAVSKA","LENART","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",188.666
2020,"PODRAVSKA","LENART","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",82.47
2020,"PODRAVSKA","LENART","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",676.437
2020,"PODRAVSKA","LENART","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",220.52
2020,"PODRAVSKA","MAKOLE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",35.192
2020,"PODRAVSKA","MAKOLE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",11.36
2020,"PODRAVSKA","MARIBOR","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",418.933
2020,"PODRAVSKA","MARIBOR","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",16.6
2020,"PODRAVSKA","MARIBOR","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1289
2020,"PODRAVSKA","MARIBOR","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2245.4
2020,"PODRAVSKA","MIKLAVŽ NA DRAVSKEM POLJU","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1.117
2020,"PODRAVSKA","OPLOTNICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",129.037
2020,"PODRAVSKA","OPLOTNICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",41.652
2020,"PODRAVSKA","ORMOŽ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",41.821
2020,"PODRAVSKA","ORMOŽ","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2.96
2020,"PODRAVSKA","ORMOŽ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",56.52
2020,"PODRAVSKA","ORMOŽ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",355.12
2020,"PODRAVSKA","PESNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4.441
2020,"PODRAVSKA","PODLEHNIK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",11.36
2020,"PODRAVSKA","POLJČANE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",117.306
2020,"PODRAVSKA","POLJČANE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",37.865
2020,"PODRAVSKA","PTUJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",196.435
2020,"PODRAVSKA","PTUJ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",8.44
2020,"PODRAVSKA","PTUJ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1954.42
2020,"PODRAVSKA","PTUJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",475.46
2020,"PODRAVSKA","RAČE-FRAM","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",269.804
2020,"PODRAVSKA","RAČE-FRAM","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",87.09
2020,"PODRAVSKA","RUŠE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",100.04
2020,"PODRAVSKA","SELNICA OB DRAVI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2.976
2020,"PODRAVSKA","SLOVENSKA BISTRICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",137.418
2020,"PODRAVSKA","SLOVENSKA BISTRICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",22.95
2020,"PODRAVSKA","SLOVENSKA BISTRICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",621.721
2020,"PODRAVSKA","SLOVENSKA BISTRICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",200.683
2020,"PODRAVSKA","SREDIŠČE OB DRAVI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",68.34
2020,"PODRAVSKA","SV. TROJICA V SLOV. GORICAH","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0.88
2020,"PODRAVSKA","SV. TROJICA V SLOV. GORICAH","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",53.29
2020,"PODRAVSKA","SVETA ANA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",34.94
