"year","statistical_region","name_of_municipality","waste_code","type_of_waste","waste_category","waste_by_municipality"
2022,"PODRAVSKA","MIKLAVŽ NA DRAVSKEM POLJU","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",203.3
2022,"PODRAVSKA","MIKLAVŽ NA DRAVSKEM POLJU","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",162.65
2022,"PODRAVSKA","OPLOTNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",30.221
2022,"PODRAVSKA","OPLOTNICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",69.743
2022,"PODRAVSKA","OPLOTNICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",114.455
2022,"PODRAVSKA","OPLOTNICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",57.75
2022,"PODRAVSKA","ORMOŽ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",81.47
2022,"PODRAVSKA","ORMOŽ","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",8
2022,"PODRAVSKA","ORMOŽ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",80.661
2022,"PODRAVSKA","ORMOŽ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",72.08
2022,"PODRAVSKA","ORMOŽ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",351.24
2022,"PODRAVSKA","PESNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",31.42
2022,"PODRAVSKA","PESNICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",127.903
2022,"PODRAVSKA","PESNICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",215.02
2022,"PODRAVSKA","PESNICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",137.93
2022,"PODRAVSKA","PODLEHNIK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",12.683
2022,"PODRAVSKA","PODLEHNIK","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",30.394
2022,"PODRAVSKA","PODLEHNIK","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",17.865
2022,"PODRAVSKA","POLJČANE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",37.991
2022,"PODRAVSKA","POLJČANE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",82.037
2022,"PODRAVSKA","POLJČANE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",123.222
2022,"PODRAVSKA","POLJČANE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",56.61
2022,"PODRAVSKA","PTUJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",241.886
2022,"PODRAVSKA","PTUJ","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",13.84
2022,"PODRAVSKA","PTUJ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",693.768
2022,"PODRAVSKA","PTUJ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",755.232
2022,"PODRAVSKA","PTUJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",461.581
2022,"PODRAVSKA","RAČE-FRAM","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",74.261
2022,"PODRAVSKA","RAČE-FRAM","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",164.569
2022,"PODRAVSKA","RAČE-FRAM","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",218.45
2022,"PODRAVSKA","RAČE-FRAM","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",97.93
2022,"PODRAVSKA","RUŠE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",29.393
2022,"PODRAVSKA","RUŠE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",41.3
2022,"PODRAVSKA","RUŠE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",172.002
2022,"PODRAVSKA","RUŠE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",288.799
