"name_of_company","waste_code","name_of_municipality","total_waste_collected","type_of_waste","statistical_region"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","SV. TROJICA V SLOV. GORICAH",949,"Wood, not specified in 20 01 37","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","SVETI JURIJ OB ŠČAVNICI",1207,"Wood, not specified in 20 01 37","POMURSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","ŠENTILJ",208383,"Wood, not specified in 20 01 37","PODRAVSKA"
"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","ZREČE",145584,"Wood, not specified in 20 01 37","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","15 01 01","BRASLOVČE",23927,"Paper/Cardboard Packaging","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","15 01 01","CELJE",282017,"Paper/Cardboard Packaging","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","15 01 01","DOBJE",6777,"Paper/Cardboard Packaging","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","15 01 01","DOBRNA",8770,"Paper/Cardboard Packaging","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","15 01 01","POLZELA",12515,"Paper/Cardboard Packaging","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","15 01 01","PREBOLD",33316,"Paper/Cardboard Packaging","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","15 01 01","ŠENTJUR",82139,"Paper/Cardboard Packaging","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","15 01 01","ŠTORE",12252,"Paper/Cardboard Packaging","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","15 01 01","TABOR",4246,"Paper/Cardboard Packaging","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","15 01 01","VOJNIK",40336,"Paper/Cardboard Packaging","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","15 01 01","VRANSKO",12910,"Paper/Cardboard Packaging","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","15 01 01","ŽALEC",107704,"Paper/Cardboard Packaging","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 38","BRASLOVČE",46801,"Wood, not specified in 20 01 37","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 38","CELJE",306455,"Wood, not specified in 20 01 37","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 38","DOBJE",5526,"Wood, not specified in 20 01 37","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 38","DOBRNA",21386,"Wood, not specified in 20 01 37","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 38","POLZELA",25341,"Wood, not specified in 20 01 37","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 38","PREBOLD",56464,"Wood, not specified in 20 01 37","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 38","ŠENTJUR",109861,"Wood, not specified in 20 01 37","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 38","ŠTORE",27338,"Wood, not specified in 20 01 37","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 38","TABOR",14064,"Wood, not specified in 20 01 37","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 38","VOJNIK",84456,"Wood, not specified in 20 01 37","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 38","VRANSKO",22211,"Wood, not specified in 20 01 37","SAVINJSKA"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 38","ŽALEC",239054,"Wood, not specified in 20 01 37","SAVINJSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","15 01 01","KUNGOTA",21991,"Paper/Cardboard Packaging","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","15 01 01","LOVRENC NA POHORJU",14790,"Paper/Cardboard Packaging","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","15 01 01","MARIBOR",500972,"Paper/Cardboard Packaging","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","15 01 01","MIKLAVŽ NA DRAVSKEM POLJU",27920,"Paper/Cardboard Packaging","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","15 01 01","PESNICA",24749,"Paper/Cardboard Packaging","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","15 01 01","RUŠE",25010,"Paper/Cardboard Packaging","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","15 01 01","SELNICA OB DRAVI",15656,"Paper/Cardboard Packaging","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","15 01 01","STARŠE",18580,"Paper/Cardboard Packaging","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","15 01 03","MARIBOR",16240,"Wooden packaging","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","20 01 38","KUNGOTA",68660,"Wood, not specified in 20 01 37","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","20 01 38","LOVRENC NA POHORJU",103740,"Wood, not specified in 20 01 37","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","20 01 38","MARIBOR",4195600,"Wood, not specified in 20 01 37","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","20 01 38","MIKLAVŽ NA DRAVSKEM POLJU",124520,"Wood, not specified in 20 01 37","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","20 01 38","PESNICA",181460,"Wood, not specified in 20 01 37","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","20 01 38","RUŠE",329183,"Wood, not specified in 20 01 37","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","20 01 38","SELNICA OB DRAVI",184137,"Wood, not specified in 20 01 37","PODRAVSKA"
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","20 01 38","STARŠE",198980,"Wood, not specified in 20 01 37","PODRAVSKA"
"SNAGA Javno podjetje d.o.o.","15 01 01","BREZOVICA",12762,"Paper/Cardboard Packaging","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","15 01 01","CERKLJE NA GORENJSKEM",4275,"Paper/Cardboard Packaging","GORENJSKA"
"SNAGA Javno podjetje d.o.o.","15 01 01","DOBROVA-POLHOV GRADEC",4075,"Paper/Cardboard Packaging","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","15 01 01","DOL PRI LJUBLJANI",3464,"Paper/Cardboard Packaging","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","15 01 01","HORJUL",1885,"Paper/Cardboard Packaging","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","15 01 01","IG",7110,"Paper/Cardboard Packaging","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","15 01 01","LJUBLJANA",466958,"Paper/Cardboard Packaging","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","15 01 01","MEDVODE",10505,"Paper/Cardboard Packaging","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","15 01 01","ŠKOFLJICA",6406,"Paper/Cardboard Packaging","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","15 01 01","VELIKE LAŠČE",2572,"Paper/Cardboard Packaging","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","15 01 01","VODICE",2635,"Paper/Cardboard Packaging","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","15 01 03","LJUBLJANA",66180,"Wooden packaging","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","20 01 38","BREZOVICA",28540,"Wood, not specified in 20 01 37","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","20 01 38","CERKLJE NA GORENJSKEM",46340,"Wood, not specified in 20 01 37","GORENJSKA"
"SNAGA Javno podjetje d.o.o.","20 01 38","IG",20680,"Wood, not specified in 20 01 37","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","20 01 38","LJUBLJANA",1451860,"Wood, not specified in 20 01 37","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","20 01 38","MEDVODE",49200,"Wood, not specified in 20 01 37","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","20 01 38","ŠKOFLJICA",23880,"Wood, not specified in 20 01 37","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","20 01 38","VELIKE LAŠČE",14500,"Wood, not specified in 20 01 37","OSREDNJESLOVENSKA"
"SNAGA Javno podjetje d.o.o.","20 01 38","VODICE",18520,"Wood, not specified in 20 01 37","OSREDNJESLOVENSKA"
