year,statistical_region,type_of_waste,total_waste_collected,waste_from_producers_no_record,waste_from_producers_with_record,waste_from_collectors_RS,waste_from_processors_RS
2017,PRIMORSKO-NOTRANJSKA,Wooden Packaging,1.03,0,1.03,0,0
2017,SAVINJSKA,Paper/Cardboard Packaging,1291.868,1120.222,122.946,0,48.7
2017,SAVINJSKA,Sawdust and Wood Cuttings,17.759999999999998,11.5,6.26,0,0
2017,SAVINJSKA,Wood,167.584,5.16,162.424,0,0
2017,SAVINJSKA,Other Wood Waste,3058.196,3058.196,0,0,0
2017,SAVINJSKA,Wooden Packaging,305.51099999999997,0.07,305.441,0,0
2017,ZASAVSKA,Paper/Cardboard Packaging,961.845,281.526,583.393,96.926,0
2017,ZASAVSKA,Sawdust and Wood Cuttings,38.94,0,0,38.94,0
2017,ZASAVSKA,Other Wood Waste,622.44,601.21,21.23,0,0
2017,ZASAVSKA,Wooden Packaging,192.66,0.34,184.077,8.243,0
2018,GORENJSKA,Paper/Cardboard Packaging,1649.483,1649.483,0,0,0
2018,GORENJSKA,Wood,510.21,510.21,0,0,0
2018,GORENJSKA,Other Wood Waste,2759.58,2759.58,0,0,0
2018,GORENJSKA,Wooden Packaging,157.96,41,116.96,0,0
2018,GORIŠKA,Paper/Cardboard Packaging,1336.902,1145.87,191.032,0,0
2018,GORIŠKA,Sawdust and Wood Cuttings,18.16,0,18.16,0,0
2018,GORIŠKA,Wood,310.035,1.1,308.935,0,0
2018,GORIŠKA,Other Wood Waste,2804.8,2768.79,36.01,0,0
2018,GORIŠKA,Wooden Packaging,193.326,154.086,39.24,0,0
2018,JUGOVZHODNA SLOVENIJA,Bark and Cork Waste,0.012,0,0.012,0,0
2018,JUGOVZHODNA SLOVENIJA,Paper/Cardboard Packaging,1225.055,1100.244,114.821,0,9.99
2018,JUGOVZHODNA SLOVENIJA,Sawdust and Wood Cuttings,4662.291,0,49.11,186.56,4426.621
2018,JUGOVZHODNA SLOVENIJA,Wood,142.428,0,142.428,0,0
2018,JUGOVZHODNA SLOVENIJA,Other Wood Waste,2379.694,2352.984,23.88,0,2.83
2018,JUGOVZHODNA SLOVENIJA,Wooden Packaging,204.788,124.09,25.958,0,54.74
2018,KOROŠKA,Paper/Cardboard Packaging,1402.57,284.198,770.741,6.04,341.591
2018,KOROŠKA,Wood,27.72,0,27.72,0,0
2018,KOROŠKA,Other Wood Waste,2.28,0,2.28,0,0
2018,KOROŠKA,Wooden Packaging,414.76,0,249.574,0,165.186
2018,OBALNO-KRAŠKA,Paper/Cardboard Packaging,1409.84,1194.727,215.113,0,0
2018,OBALNO-KRAŠKA,Sawdust and Wood Cuttings,1665.15,0,1665.15,0,0
2018,OBALNO-KRAŠKA,Other Wood Waste,3485.09,3462.785,22.305,0,0
2018,OBALNO-KRAŠKA,Wooden Packaging,501.55,16.95,457.36,27.24,0
2018,OSREDNJESLOVENSKA,Paper/Cardboard Packaging,26595.982,4050.578,16781.229,3173.034,2591.141
2018,OSREDNJESLOVENSKA,Sawdust and Wood Cuttings,630.38,0,630.38,0,0
2018,OSREDNJESLOVENSKA,Wood,760.17,5.18,390.75,364.24,0
2018,OSREDNJESLOVENSKA,Other Wood Waste,17047.93,7661.872,3889.728,2828.29,2668.04
2018,OSREDNJESLOVENSKA,Wooden Packaging,8853.457,295.899,6007.838,506.06,2043.66
2018,PODRAVSKA,Paper/Cardboard Packaging,2492.778,1768.709,724.069,0,0
2018,PODRAVSKA,Sawdust and Wood Cuttings,15.23,0,15.23,0,0
2018,PODRAVSKA,Wood,198.78,65.88,124.62,8.28,0
2018,PODRAVSKA,Other Wood Waste,7448.349,7062.026,371.686,14.637,0
2018,PODRAVSKA,Wooden Packaging,956.047,131.474,824.573,0,0
2018,POMURSKA,Paper/Cardboard Packaging,643.694,486.672,157.022,0,0
2018,POMURSKA,Wood,60.68,0,60.68,0,0
2018,POMURSKA,Other Wood Waste,519.97,436.02,35.81,0,48.14
2018,POMURSKA,Wooden Packaging,34.747,0,34.747,0,0
2018,POSAVSKA,Paper/Cardboard Packaging,1412.868,816.476,567.292,28.9,0.2
2018,POSAVSKA,Sawdust and Wood Cuttings,324.804,0,66.18,0,258.624
2018,POSAVSKA,Other Wood Waste,1011.339,517.35,493.989,0,0
2018,POSAVSKA,Wooden Packaging,341.258,143.34,197.918,0,0
2018,PRIMORSKO-NOTRANJSKA,Paper/Cardboard Packaging,321.43,177.771,143.659,0,0
2018,PRIMORSKO-NOTRANJSKA,Wood,10.2,0.4,9.8,0,0
2018,PRIMORSKO-NOTRANJSKA,Other Wood Waste,800.17,750.98,49.19,0,0
2018,PRIMORSKO-NOTRANJSKA,Wooden Packaging,1.87,0,1.87,0,0
2018,SAVINJSKA,Paper/Cardboard Packaging,1332.356,1228.806,103.55,0,0
2018,SAVINJSKA,Sawdust and Wood Cuttings,84.68,0,73.18,11.5,0
2018,SAVINJSKA,Wood,276.8,0,250.5,0,26.3
2018,SAVINJSKA,Other Wood Waste,2232.847,2232.847,0,0,0
2018,SAVINJSKA,Wooden Packaging,204.699,0.12,204.579,0,0
2018,ZASAVSKA,Paper/Cardboard Packaging,955.454,266.68,626.099,62.675,0
2018,ZASAVSKA,Other Wood Waste,753.838,746.22,7.618,0,0
2018,ZASAVSKA,Wooden Packaging,271.45,0.38,245.606,0,25.464
2019,GORENJSKA,Paper/Cardboard Packaging,1800.374,1800.374,0,0,0
2019,GORENJSKA,Wood,294.14,294.14,0,0,0
2019,GORENJSKA,Other Wood Waste,3232.89,3227.27,5.62,0,0
2019,GORENJSKA,Wooden Packaging,419.649,293.369,126.28,0,0
2019,GORIŠKA,Paper/Cardboard Packaging,1716.861,1217.991,498.87,0,0
2019,GORIŠKA,Sawdust and Wood Cuttings,19.06,0,19.06,0,0
2019,GORIŠKA,Wood,156.16,0.375,155.785,0,0
2019,GORIŠKA,Other Wood Waste,2579.8,2540.42,39.38,0,0
2019,GORIŠKA,Wooden Packaging,177.708,17.328,160.38,0,0
2019,JUGOVZHODNA SLOVENIJA,Paper/Cardboard Packaging,3732.262,1405.736,2314.016,0,12.51
2019,JUGOVZHODNA SLOVENIJA,Sawdust and Wood Cuttings,4168.5,0,83.02,252.16,3833.32
2019,JUGOVZHODNA SLOVENIJA,Waste Bark and Cork,0.107,0,0.107,0,0
2019,JUGOVZHODNA SLOVENIJA,Wood,106.841,0,106.841,0,0
2019,JUGOVZHODNA SLOVENIJA,Other Wood Waste,2799.79,2779.34,19.48,0,0.97
2019,JUGOVZHODNA SLOVENIJA,Wooden Packaging,93.176,0,31.596,0,61.58
2019,KOROŠKA,Paper/Cardboard Packaging,1605.333,396.324,897.11,34.38,277.519
2019,KOROŠKA,Sawdust and Wood Cuttings,21.94,0,0,0,21.94
2019,KOROŠKA,Wood,59.08,0,59.08,0,0
2019,KOROŠKA,Other Wood Waste,5.08,0,5.08,0,0
2019,KOROŠKA,Wooden Packaging,486.24,0,300.3,0,185.94
2019,OBALNO-KRAŠKA,Paper/Cardboard Packaging,1612.752,1435.251,177.501,0,0
2019,OBALNO-KRAŠKA,Sawdust and Wood Cuttings,1235.9,0,1235.9,0,0
2019,OBALNO-KRAŠKA,Other Wood Waste,3626.91,3599.14,27.77,0,0
2019,OBALNO-KRAŠKA,Wooden Packaging,434.98,11,423.98,0,0
2019,OSREDNJESLOVENSKA,Paper/Cardboard Packaging,13121.687,4179.871,8896.886,23.55,21.38
2019,OSREDNJESLOVENSKA,Wood,687.985,1.48,686.505,0,0
2019,OSREDNJESLOVENSKA,Other Wood Waste,10002.403,9891.311,111.092,0,0
2019,OSREDNJESLOVENSKA,Wooden Packaging,3516.637,267.64,3123.565,82.052,43.38
2019,PODRAVSKA,Paper/Cardboard Packaging,2460.563,1753.999,706.564,0,0
2019,PODRAVSKA,Sawdust and Wood Cuttings,35.11,0,24.99,10.12,0
2019,PODRAVSKA,Wood,215.3,0,209.26,6.04,0
2019,PODRAVSKA,Other Wood Waste,8894.363,7917.458,512.27,464.635,0
2019,PODRAVSKA,Wooden Packaging,959.07,47.95,911.12,0,0
2019,POMURSKA,Paper/Cardboard Packaging,801.376,587.187,163.429,0,50.76
2019,POMURSKA,Wood,45.48,0,45.48,0,0
2019,POMURSKA,Other Wood Waste,893.31,810.87,5.3,0,77.14
2019,POMURSKA,Wooden Packaging,81.756,0,81.756,0,0
2019,POSAVSKA,Paper/Cardboard Packaging,1650.165,958.33,665.795,26.04,0
2019,POSAVSKA,Sawdust and Wood Cuttings,241.496,0,50.77,0,190.726
2019,POSAVSKA,Wood,7.92,0,7.92,0,0
2019,POSAVSKA,Other Wood Waste,1237.597,818.583,419.014,0,0
2019,POSAVSKA,Wooden Packaging,279.581,10.78,262.361,6.44,0
2019,PRIMORSKO-NOTRANJSKA,Paper/Cardboard Packaging,718.479,318.276,400.203,0,0
2019,PRIMORSKO-NOTRANJSKA,Other Wood Waste,917.62,869.33,48.29,0,0
2019,PRIMORSKO-NOTRANJSKA,Wooden Packaging,61.95,55.32,6.63,0,0
2019,SAVINJSKA,Paper/Cardboard Packaging,3507.581,1415.974,1972.787,118.82,0
2019,SAVINJSKA,Sawdust and Wood Cuttings,54.94,0,42.54,12.4,0
2019,SAVINJSKA,Wood,329.49,0,327.67,0,1.82
2019,SAVINJSKA,Other Wood Waste,2474.509,2474.509,0,0,0
2019,SAVINJSKA,Wooden Packaging,2131.343,0.14,2131.203,0,0
2019,ZASAVSKA,Paper/Cardboard Packaging,1003.466,319.63,646.809,37.027,0
2019,ZASAVSKA,Other Wood Waste,887.81,886.1,1.71,0,0
2019,ZASAVSKA,Wooden Packaging,287.7,1.1,264.37,0.26,21.97
2020,GORENJSKA,Paper/Cardboard Packaging,1829.875,1829.755,0.12,0,0
2020,GORENJSKA,Wooden Packaging,67.88,67.88,0,0,0
2020,GORENJSKA,Wood,582.12,570.22,11.9,0,0
2020,GORENJSKA,Other Wood Waste,3748.38,3738.65,9.73,0,0
2020,GORIŠKA,Sawdust and Wood Cuttings,30,0,30,0,0
2020,GORIŠKA,Paper/Cardboard Packaging,1640.246,1244.382,395.864,0,0
2020,GORIŠKA,Wooden Packaging,156.186,54.806,101.38,0,0
2020,GORIŠKA,Wood,182.708,2.59,180.118,0,0
2020,GORIŠKA,Other Wood Waste,2849.135,2758.42,90.715,0,0
2020,JUGOVZHODNA SLOVENIJA,Sawdust and Wood Cuttings,4083.253,2.4,122.153,65.9,3892.8
2020,JUGOVZHODNA SLOVENIJA,Paper/Cardboard Packaging,1827.862,1743.343,66.919,0,17.6
2020,JUGOVZHODNA SLOVENIJA,Wooden Packaging,86.84,0,3.33,0,83.51
2020,JUGOVZHODNA SLOVENIJA,Wood,22.343,1.098,21.245,0,0
2020,JUGOVZHODNA SLOVENIJA,Other Wood Waste,2706.21,2706.21,0,0,0
2020,KOROŠKA,Sawdust and Wood Cuttings,53.12,0,0,53.12,0
2020,KOROŠKA,Paper/Cardboard Packaging,1410.57,481.396,804.41,97.16,27.604
2020,KOROŠKA,Wooden Packaging,354.78,0,351.32,3.46,0
2020,KOROŠKA,Wood,7.88,0,7.88,0,0
2020,OBALNO-KRAŠKA,Sawdust and Wood Cuttings,392.44,0,392.44,0,0
2020,OBALNO-KRAŠKA,Paper/Cardboard Packaging,1786.661,1638.15,148.511,0,0
2020,OBALNO-KRAŠKA,Wooden Packaging,1239.69,0,1239.69,0,0
2020,OBALNO-KRAŠKA,Other Wood Waste,3659.02,3656.435,2.585,0,0
2020,OSREDNJESLOVENSKA,Paper/Cardboard Packaging,10601.404,4431.485,6121.739,18.58,29.6
2020,OSREDNJESLOVENSKA,Wooden Packaging,3925.698,136.56,3612.518,0.79,175.83
2020,OSREDNJESLOVENSKA,Wood,872.125,0,872.125,0,0
2020,OSREDNJESLOVENSKA,Other Wood Waste,9297.269,9168.893,128.376,0,0
2020,PODRAVSKA,Sawdust and Wood Cuttings,151.14,0,145.42,5.72,0
2020,PODRAVSKA,Paper/Cardboard Packaging,2027.681,1837.827,186.304,3.55,0
2020,PODRAVSKA,Wooden Packaging,905.324,41.559,863.765,0,0
2020,PODRAVSKA,Wood,89.586,0,81.066,8.52,0
2020,PODRAVSKA,Other Wood Waste,8882.117,7595.377,1286.74,0,0
2020,POMURSKA,Paper/Cardboard Packaging,744.535,576.97,167.565,0,0
2020,POMURSKA,Wooden Packaging,117.18,0,117.18,0,0
2020,POMURSKA,Wood,61.06,0,61.06,0,0
2020,POMURSKA,Other Wood Waste,1040.37,919.53,120.84,0,0
2020,POSAVSKA,Sawdust and Wood Cuttings,62.46,0,21.26,41.2,0
2020,POSAVSKA,Paper/Cardboard Packaging,2281.195,1266.946,800.829,213.42,0
2020,POSAVSKA,Wooden Packaging,204.045,3.26,200.785,0,0
2020,POSAVSKA,Wood,17.28,0,17.28,0,0
2020,POSAVSKA,Other Wood Waste,1505.1,622.37,745.864,136.866,0
2020,PRIMORSKO-NOTRANJSKA,Paper/Cardboard Packaging,737.777,487.552,250.225,0,0
2020,PRIMORSKO-NOTRANJSKA,Wooden Packaging,10.25,0,10.25,0,0
2020,PRIMORSKO-NOTRANJSKA,Wood,8.58,0,8.58,0,0
2020,PRIMORSKO-NOTRANJSKA,Other Wood Waste,1245.77,1231.68,14.09,0,0
2020,SAVINJSKA,Sawdust and Wood Cuttings,102.26,0,57.44,0,44.82
2020,SAVINJSKA,Paper/Cardboard Packaging,4027.731,1629.155,2246.274,135.442,16.86
2020,SAVINJSKA,Wooden Packaging,2619.504,0.12,2411.204,109.74,98.44
2020,SAVINJSKA,Wood,341.36,0,341.36,0,0
2020,SAVINJSKA,Other Wood Waste,2986.485,2986.485,0,0,0
2020,ZASAVSKA,Paper/Cardboard Packaging,1280.397,403.632,761.185,115.58,0
2020,ZASAVSKA,Wooden Packaging,348.14,0.02,348.12,0,0
2020,ZASAVSKA,Other Wood Waste,920.8,919.12,1.68,0,0
2021,GORENJSKA,Paper/Cardboard Packaging,1962.702,1961.642,1.06,0,0
2021,GORENJSKA,Wood,547.86,547.56,0.3,0,0
2021,GORENJSKA,Other Wood Waste,4364.82,4306.67,58.15,0,0
2021,GORENJSKA,Wooden Packaging,77.01,77.01,0,0,0
2021,GORIŠKA,Paper/Cardboard Packaging,1852.956,1222.44,630.516,0,0
2021,GORIŠKA,Sawdust and Wood Cuttings,23.44,0,23.44,0,0
2021,GORIŠKA,Wood,142.3,10.53,131.77,0,0
2021,GORIŠKA,Other Wood Waste,3305.712,3240.972,64.74,0,0
2021,GORIŠKA,Wooden Packaging,191.748,15.28,176.468,0,0
2021,JUGOVZHODNA SLOVENIJA,Paper/Cardboard Packaging,1395.503,1356.942,38.561,0,0
2021,JUGOVZHODNA SLOVENIJA,Sawdust and Wood Cuttings,4793.136,0,95.556,20.12,4677.46
2021,JUGOVZHODNA SLOVENIJA,Wood,71.89,0,71.89,0,0
2021,JUGOVZHODNA SLOVENIJA,Other Wood Waste,3214.41,3133.66,80.75,0,0
