"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_generated_stored","temporarily_stored_start_year","generated_in_the_year","temporarily_stored_end_year","total_waste_given_away","waste_treated_by_original_generator","waste_transferred_for_treatment_in_RS","waste_sent_for_treatment_EU","waste_sent_for_treatment_outside_EU"
2024,"PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",8417.721,0.89,8416.831,1.96,8411.181,4.58,8195.441,215.74,0
2024,"PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3329.295,4.08,3325.215,2.51,3325.44,1.345,3325.44,0,0
2024,"PODRAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",581.094,0,581.094,0.2,580.894,0,580.894,0,0
2024,"PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",8005.176,0.73,8004.446,0.5,8001.186,3.49,2596.921,5404.265,0
2024,"PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",316.119,0,316.119,0.001,316.118,0,316.118,0,0
2024,"PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",705.771,1.32,704.451,0.252,705.519,0,705.519,0,0
2024,"POMURSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1260.48,0,1260.48,0,1260.48,0,1260.48,0,0
2024,"POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2498.515,0.77,2497.745,0.5,2498.015,0,2498.015,0,0
2024,"POMURSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",791.922,0.7,791.222,0.2,791.722,0,791.722,0,0
2024,"POMURSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",185.818,0,185.818,0,185.818,0,185.818,0,0
2024,"POMURSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",1.017,0,1.017,0,0,1.017,0,0,0
2024,"POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",293.608,1.02,292.588,20.5,270.824,2.284,270.824,0,0
2024,"POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",16.18,0,16.18,0,16.18,0,16.18,0,0
2024,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",6725.742,0,6725.742,0,6725.502,0.24,6725.502,0,0
2024,"POSAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",56.124,0,56.124,0,56.124,0,56.124,0,0
2024,"POSAVSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",498.897,490,8.897,0,1.797,497.1,1.797,0,0
2024,"POSAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",3389.714,0,3389.714,0,3389.714,0,3389.714,0,0
2024,"POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1320.666,1.039,1319.627,0.564,1320.069,0.033,1320.069,0,0
2024,"POSAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",475.988,27.86,448.128,0,415.988,60,415.988,0,0
2024,"POSAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",182.796,0,182.796,0,182.796,0,182.796,0,0
2024,"POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1179.668,0,1179.668,0,1176.639,3.029,1176.639,0,0
2024,"POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",611.798,0.75,611.048,0.96,610.838,0,610.838,0,0
2024,"POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",21.72,0,21.72,0,21.72,0,21.72,0,0
2024,"PRIMORSKO-NOTRANJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",1678.7,0,1678.7,0,1678.7,0,1678.7,0,0
2024,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1194.858,3.1,1191.758,5.85,1189.008,0,1189.008,0,0
2024,"PRIMORSKO-NOTRANJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",375.395,2,373.395,6.75,368.645,0,368.645,0,0
2024,"PRIMORSKO-NOTRANJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",94.06,0,94.06,0,94.06,0,94.06,0,0
2024,"PRIMORSKO-NOTRANJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",734.434,0,734.434,0,734.434,0,561.644,172.79,0
2024,"PRIMORSKO-NOTRANJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",35.07,0,35.07,0,35.07,0,35.07,0,0
2024,"PRIMORSKO-NOTRANJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",100.64,0,100.64,0,100.64,0,100.64,0,0
2024,"SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",44.19,0.03,44.16,0,44.19,0,44.19,0,0
2024,"SAVINJSKA","03 01 99","Other Unspecified Wood Waste (03 01 99)","Wood/Paper Production Waste",689.266,0,689.266,0,689.266,0,689.266,0,0
2024,"SAVINJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",1664.387,0.389,1663.998,0.593,1663.794,0,1663.794,0,0
