"year","statistical_region","name_of_municipality","waste_code","type_of_waste","waste_category","municipal_waste_collected_by_municipality"
2020,"PODRAVSKA","LOVRENC NA POHORJU","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",15.902
2020,"PODRAVSKA","MARKOVCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",30.318
2020,"PODRAVSKA","MIKLAVŽ NA DRAVSKEM POLJU","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",35.82
2020,"JUGOVZHODNA SLOVENIJA","ČRNOMELJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",198.463
2020,"JUGOVZHODNA SLOVENIJA","MIRNA PEČ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",42.851
2020,"PODRAVSKA","OPLOTNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",54.624
2020,"PODRAVSKA","PODLEHNIK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",9.67
2020,"SAVINJSKA","POLZELA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",22.602
2020,"SAVINJSKA","PREBOLD","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",32.434
2020,"KOROŠKA","PREVALJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",59.723
2020,"POMURSKA","RAZKRIŽJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2
2020,"KOROŠKA","RIBNICA NA POHORJU","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3.743
2020,"PODRAVSKA","SELNICA OB DRAVI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",15.5
2020,"JUGOVZHODNA SLOVENIJA","SODRAŽICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",18.534
2020,"PODRAVSKA","DESTRNIK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",16.786
2020,"SAVINJSKA","SOLČAVA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2.073
2020,"PODRAVSKA","SVETI ANDRAŽ V SLOV. GORICAH","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",7.882
2020,"GORIŠKA","ŠEMPETER-VRTOJBA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",224.195
2020,"SAVINJSKA","TABOR","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",8.992
2020,"PODRAVSKA","TRNOVSKA VAS","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",7.576
2020,"OSREDNJESLOVENSKA","TRZIN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",143.039
2020,"POMURSKA","VELIKA POLANA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2.58
2020,"POMURSKA","VERŽEJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1.95
2020,"SAVINJSKA","VRANSKO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",15.853
2020,"OBALNOKRAŠKA","DIVAČA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",52.242
2020,"SAVINJSKA","ŽALEC","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",206.625
2020,"PODRAVSKA","ŽETALE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5.964
2020,"GORENJSKA","ŽIROVNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",33.922
2020,"JUGOVZHODNA SLOVENIJA","ŽUŽEMBERK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",68.494
2020,"OSREDNJESLOVENSKA","ŠMARTNO PRI LITIJI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",87.816
2020,"POMURSKA","APAČE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",83.12
2020,"PODRAVSKA","CIRKULANE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",13.07
2020,"POSAVSKA","KOSTANJEVICA NA KRKI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",59.013
2020,"PODRAVSKA","MAKOLE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",14.897
2020,"JUGOVZHODNA SLOVENIJA","MOKRONOG-TREBELNO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",53.965
2020,"POMURSKA","BELTINCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",62.663
2020,"OSREDNJESLOVENSKA","DOBREPOLJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",27.705
2020,"PODRAVSKA","POLJČANE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",49.658
2020,"GORIŠKA","RENČE-VOGRSKO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",17.593
2020,"PODRAVSKA","SREDIŠČE OB DRAVI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",20.513
2020,"JUGOVZHODNA SLOVENIJA","STRAŽA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",52.76
2020,"PODRAVSKA","SVETI TOMAŽ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",13.675
2020,"JUGOVZHODNA SLOVENIJA","ŠMARJEŠKE TOPLICE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",48.825
