"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_received","untreated_waste_from_storage_start_year","waste_received_own_waste","waste_received_from_generators","waste_received_from_collectors","waste_received_from_treatment","waste_received_from_EU","waste_received_from_non_EU"
2024,"OSREDNJESLOVENSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",4219.925,0,0,3.28,12.095,3789.22,415.33,0
2024,"OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",93259.39,4105.866,0.553,19164.618,30054.694,11949.214,26644.605,1339.84
2024,"OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",57583.193,2438.086,0,151.3,42737.383,12256.424,0,0
2024,"OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",30315.028,99.84,0,1561.034,25481.482,3172.672,0,0
2024,"PODRAVSKA","02 01 07","Forestry Waste (02 01 07)","Agricultural/Forestry Waste",55.5,0,0,55.5,0,0,0,0
2024,"PODRAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",78.627,0,0,78.627,0,0,0,0
2024,"PODRAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",2326.735,0,2.78,2323.955,0,0,0,0
2024,"PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",13449.22,0,4.58,11312.537,1770.59,358.593,2.92,0
2024,"PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3537.488,0,0.245,3350.159,187.084,0,0,0
2024,"PODRAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",1366.624,0,0,1341.724,1.22,23.68,0,0
2024,"PODRAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",112.14,0,0,0,0,66.64,45.5,0
2024,"PODRAVSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",16.46,0,0,0,0,16.46,0,0
2024,"PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",11546.504,7.42,3.49,5510.298,4877.63,1096.886,50.78,0
2024,"PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3170.628,0,1474.86,39.748,952.14,703.88,0,0
2024,"PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",8460.802,0,2.38,1022.034,6874.548,561.84,0,0
2024,"POMURSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1953.24,0,0,1953.24,0,0,0,0
2024,"POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3435.196,0,0,2064.2,1209.456,161.54,0,0
2024,"POMURSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",962.262,0,0,785.998,176.264,0,0,0
2024,"POMURSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",90.338,0,0,90.338,0,0,0,0
2024,"POMURSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",1.017,0,1.017,0,0,0,0,0
2024,"POMURSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",198.66,0,0,0,0,198.66,0,0
2024,"POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2900.938,0,2.284,703.496,1897.052,298.106,0,0
2024,"POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1127,0,0,37.2,1089.8,0,0,0
2024,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",12865.626,0,0.24,69.526,11803.02,992.84,0,0
2024,"POSAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",12.42,0,0,12.42,0,0,0,0
2024,"POSAVSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",497.1,0,497.1,0,0,0,0,0
2024,"POSAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",362.31,0,0,342.71,0,19.6,0,0
2024,"POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5458.127,44.629,0.033,793.004,3393.891,868.37,358.2,0
2024,"POSAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",321.32,0,60,259.96,1.36,0,0,0
2024,"POSAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",36.15,0,2.62,33.53,0,0,0,0
2024,"POSAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",47558.083,1128.605,0,0,555.181,9892.292,27516.419,8465.586
2024,"POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",69694.326,927.118,3.029,1461.386,7199.22,6189.549,48482.593,5431.431
2024,"POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",197.195,103.355,0,0,93.84,0,0,0
2024,"POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",5831.06,1645.33,0,324.46,1962.65,1898.62,0,0
