"year","statistical_region","treatment_inlet_delivered_waste_code","input_waste_name","waste_category","treatment_operation","treatment_outlet_delivered_waste_code","output_waste_name","waste_category_1","further_treatment_envisaged","waste_sent_to_self_storage_end_year","waste_sent_to_collector_SI","waste_sent_to_treatment_operator","waste_sent_to_EU_member_states","waste_sent_to_non_EU_countries","waste_sent_to_no_further_management"
2024,"GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_03",0,0,233.02,0,0,0
2024,"GORIŠKA","17 04 05","Iron and Steel Waste (17 04 05)","Construction/Demolition Waste","R_12","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",NA,0,0.98,0,0,0,0
2024,"GORIŠKA","17 04 05","Iron and Steel Waste (17 04 05)","Construction/Demolition Waste","R_12","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13",0,0,1.02,0,0,0
2024,"GORIŠKA","17 04 11",NA,"Construction/Demolition Waste","R_12","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",NA,0,0.57,0,0,0,0
2024,"GORIŠKA","17 04 11",NA,"Construction/Demolition Waste","R_12","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13",0,0,0.85,0,0,0
2024,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","BO","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12",0,0,2.247,0,0,0
2024,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13",0,0,4.744,0,0,0
2024,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_03",0,0,157.26,0,0,0
2024,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13",0,0,26,0,0,0
2024,"GORIŠKA","19 12 02","Ferrous Metals from Mechanical Treatment (19 12 02)","Waste Treatment Residues","R_12","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",NA,0,1.02,0,0,0,0
2024,"GORIŠKA","19 12 03","Non-Ferrous Metals from Mechanical Treatment (19 12 03)","Waste Treatment Residues","R_12","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",NA,0,5.03,0,0,0,0
