"year","statistical_region","treatment_inlet_waste_code","type_of_waste_inlet","waste_category","treatment_outlet_waste_code","type_of_waste_outlet","waste_category_1","substance_or_object","quantity_stored_start_year"
2024,"GORIŠKA","09 01 07","Silver-Containing Photographic Films and Paper (09 01 07)","Photographic Industry Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",0.81
2024,"GORIŠKA","12 01 02","Iron Dust and Particles (12 01 02)","Metal/Plastic Processing Waste","undefined","undefined","Other Waste","03 – kovine: železo in jeklo",1204.598
2024,"GORIŠKA","12 01 04","Non-Ferrous Metal Dust and Particles (12 01 04)","Metal/Plastic Processing Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",1.05
2024,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","undefined",15.966
2024,"GORIŠKA","15 01 02","Plastic Packaging (15 01 02)","Packaging Waste","undefined","undefined","Other Waste","08 – plastika",6.77
2024,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",2.975
2024,"GORIŠKA","16 01 04*","End-of-Life Vehicles (16 01 04*)","Miscellaneous Waste","undefined","undefined","Other Waste","03 – kovine: železo in jeklo",56.046
2024,"GORIŠKA","16 01 04*","End-of-Life Vehicles (16 01 04*)","Miscellaneous Waste","undefined","undefined","Other Waste","06 – guma",0.192
2024,"GORIŠKA","16 01 04*","End-of-Life Vehicles (16 01 04*)","Miscellaneous Waste","undefined","undefined","Other Waste","08 – plastika",5.556
2024,"GORIŠKA","16 01 04*","End-of-Life Vehicles (16 01 04*)","Miscellaneous Waste","undefined","undefined","Other Waste","09 – steklo",0.482
2024,"GORIŠKA","16 01 04*","End-of-Life Vehicles (16 01 04*)","Miscellaneous Waste","undefined","undefined","Other Waste","13 – baterije in akumulatorji",0.224
2024,"GORIŠKA","16 03 04","Non-Hazardous Inorganic Wastes (16 03 04)","Miscellaneous Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",0.387
2024,"GORIŠKA","17 05 06","Other Insulation Materials (17 05 06)","Construction/Demolition Waste","undefined","undefined","Other Waste","19 – minerali: kamen",500
2024,"GORIŠKA","17 09 04","Gypsum-Based Building Materials (17 09 04)","Construction/Demolition Waste","undefined","undefined","Other Waste","18 – minerali: beton, opeka",122
2024,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",7.734
2024,"GORIŠKA","19 12 02","Ferrous Metals from Mechanical Treatment (19 12 02)","Waste Treatment Residues","undefined","undefined","Other Waste","03 – kovine: železo in jeklo",212.138
2024,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","undefined",7.379
2024,"JUGOVZHODNA SLOVENIJA","02 05 01","Substances and Products Unfit for Consumption or Processing (02 05 01)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",292.56
2024,"JUGOVZHODNA SLOVENIJA","02 05 02","Sludges from On-site Wastewater Treatment (02 05 02)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",435.82
2024,"JUGOVZHODNA SLOVENIJA","02 06 01","Substances and Products Unfit for Consumption or Processing (02 06 01)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",33.04
2024,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","undefined",151.987
2024,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",80.417
2024,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","undefined",58.049
2024,"JUGOVZHODNA SLOVENIJA","16 03 06","Non-Hazardous Organic Wastes (16 03 06)","Miscellaneous Waste","undefined","undefined","Other Waste","17 - digestate (product)",1027.22
2024,"JUGOVZHODNA SLOVENIJA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",0.52
2024,"JUGOVZHODNA SLOVENIJA","20 01 08","Biodegradable kitchen waste (20 01 08)","Municipal Waste","undefined","undefined","Other Waste","17 - digestate (product)",4501.9
2024,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","undefined",135.09
2024,"KOROŠKA","20 02 01","Biodegradable Garden and Park Waste (20 02 01)","Municipal Waste","undefined","undefined","Other Waste","16 - compost (product)",430.06
2024,"OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","undefined",55.031
2024,"OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",34.84
2024,"OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","undefined",11.59
2024,"OBALNO-KRAŠKA","17 01 01","Concrete Waste (17 01 01)","Construction/Demolition Waste","undefined","undefined","Other Waste","22 - construction filler",2835.01
2024,"OBALNO-KRAŠKA","17 01 07","Non-Hazardous Concrete/Brick/Ceramic Mixtures (17 01 07)","Construction/Demolition Waste","undefined","undefined","Other Waste","22 - construction filler",2000
2024,"OBALNO-KRAŠKA","17 03 02","Non-Hazardous Bituminous Mixtures (17 03 02)","Construction/Demolition Waste","undefined","undefined","Other Waste","22 - construction filler",17866.755
2024,"OBALNO-KRAŠKA","17 05 04","Gypsum-Based Waste (17 05 04)","Construction/Demolition Waste","undefined","undefined","Other Waste","22 - construction filler",18496.75
2024,"OBALNO-KRAŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",10.87
2024,"OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","undefined",51.436
2024,"OBALNO-KRAŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",5.524
2024,"OSREDNJESLOVENSKA","01 04 13","Waste from Cutting and Sawing of Stone (01 04 13)","Other Waste","undefined","undefined","Other Waste","15 – gradbeni proizvodi (razen mineralov)",2.263
2024,"OSREDNJESLOVENSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste","undefined","undefined","Other Waste","16 - compost (product)",9.28
2024,"OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","undefined","undefined","Other Waste","05 – papir in karton",9871.597
2024,"OSREDNJESLOVENSKA","10 09 08","Used Foundry Moulds and Cores, Non-Hazardous (10 09 08)","Thermal Process Waste","undefined","undefined","Other Waste","15 – gradbeni proizvodi (razen mineralov)",1987.049
2024,"OSREDNJESLOVENSKA","10 12 08","Ceramic, Brick, Tile and Construction Waste (10 12 08)","Thermal Process Waste","undefined","undefined","Other Waste","15 – gradbeni proizvodi (razen mineralov)",255.727
2024,"OSREDNJESLOVENSKA","12 01 03","Non-Ferrous Metal Turnings (12 01 03)","Metal/Plastic Processing Waste","undefined","undefined","Other Waste","04 – kovine: barvne kovine",58.122
2024,"OSREDNJESLOVENSKA","12 01 04","Non-Ferrous Metal Dust and Particles (12 01 04)","Metal/Plastic Processing Waste","undefined","undefined","Other Waste","04 – kovine: barvne kovine",19.753
2024,"OSREDNJESLOVENSKA","14 06 03*","Other Solvents and Solvent Mixtures (14 06 03*)","Solvent/Refrigerant Waste","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",10.932
2024,"OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","undefined",129.938
2024,"OSREDNJESLOVENSKA","15 01 02","Plastic Packaging (15 01 02)","Packaging Waste","undefined","undefined","Other Waste","08 – plastika",11.624
2024,"OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","undefined",97.582
2024,"OSREDNJESLOVENSKA","15 01 05","Composite Packaging (15 01 05)","Packaging Waste","undefined","undefined","Other Waste","04 – kovine: barvne kovine",110.438
2024,"OSREDNJESLOVENSKA","15 01 06","Mixed Packaging (15 01 06)","Packaging Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","undefined",13.982
2024,"OSREDNJESLOVENSKA","16 08 03","Spent Catalysts Containing Transition Metals (16 08 03)","Miscellaneous Waste","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",8.93
2024,"OSREDNJESLOVENSKA","17 01 01","Concrete Waste (17 01 01)","Construction/Demolition Waste","undefined","undefined","Other Waste","15 – gradbeni proizvodi (razen mineralov)",371.752
2024,"OSREDNJESLOVENSKA","17 01 07","Non-Hazardous Concrete/Brick/Ceramic Mixtures (17 01 07)","Construction/Demolition Waste","undefined","undefined","Other Waste","15 – gradbeni proizvodi (razen mineralov)",8.786
2024,"OSREDNJESLOVENSKA","17 03 02","Non-Hazardous Bituminous Mixtures (17 03 02)","Construction/Demolition Waste","undefined","undefined","Other Waste","15 – gradbeni proizvodi (razen mineralov)",1918.762
2024,"OSREDNJESLOVENSKA","17 05 06","Other Insulation Materials (17 05 06)","Construction/Demolition Waste","undefined","undefined","Other Waste","15 – gradbeni proizvodi (razen mineralov)",65.925
2024,"OSREDNJESLOVENSKA","17 09 04","Gypsum-Based Building Materials (17 09 04)","Construction/Demolition Waste","undefined","undefined","Other Waste","15 – gradbeni proizvodi (razen mineralov)",162.3
2024,"OSREDNJESLOVENSKA","19 08 02","Citotoxic and Cytostatic Medicinal Wastes (19 08 02)","Waste Treatment Residues","undefined","undefined","Other Waste","15 – gradbeni proizvodi (razen mineralov)",106.026
2024,"OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",3870.23
2024,"OSREDNJESLOVENSKA","19 12 04","Plastics and Rubber from Mechanical Treatment (19 12 04)","Waste Treatment Residues","undefined","undefined","Other Waste","08 – plastika",87.448
2024,"OSREDNJESLOVENSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",31
2024,"OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",2879.218
2024,"OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","undefined",88.212
2024,"OSREDNJESLOVENSKA","20 01 27*","Hazardous Paints, Inks, Adhesives (20 01 27*)","Municipal Waste","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",0.573
2024,"OSREDNJESLOVENSKA","20 01 28","Non-Hazardous Paints, Inks, Adhesives (20 01 28)","Municipal Waste","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",11.302
2024,"OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","undefined","undefined","Other Waste","16 - compost (product)",3694.69
2024,"OSREDNJESLOVENSKA","20 02 01","Biodegradable Garden and Park Waste (20 02 01)","Municipal Waste","undefined","undefined","Other Waste","16 - compost (product)",9345.343
2024,"OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","undefined",7.8
2024,"PODRAVSKA","02 01 03","Waste Plant Tissues (02 01 03)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",27.099
2024,"PODRAVSKA","02 01 06","Animal Excreta and Manure (02 01 06)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",595.402
2024,"PODRAVSKA","02 02 04","Sludges from On-site Wastewater Treatment (02 02 04)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",90.148
2024,"PODRAVSKA","02 03 01","Peelings, Pulp and Other Residues from Fruit and Vegetable Processing (02 03 01)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",5.301
2024,"PODRAVSKA","02 03 04","Materials Unsuitable for Use or Processing (02 03 04)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",89.625
2024,"PODRAVSKA","02 03 05","Sludges from On-site Wastewater Treatment (02 03 05)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",57.647
2024,"PODRAVSKA","02 05 01","Substances and Products Unfit for Consumption or Processing (02 05 01)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",603.379
2024,"PODRAVSKA","02 05 02","Sludges from On-site Wastewater Treatment (02 05 02)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",165.972
2024,"PODRAVSKA","02 06 01","Substances and Products Unfit for Consumption or Processing (02 06 01)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",216.221
2024,"PODRAVSKA","02 07 04","Materials Unsuitable for Use or Processing (02 07 04)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",3.79
2024,"PODRAVSKA","02 07 05","Sludges from On-site Wastewater Treatment (02 07 05)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",7.257
2024,"PODRAVSKA","03 03 11","On-site Pulp, Paper and Cardboard Recycling Sludges (03 03 11)","Wood/Paper Production Waste","undefined","undefined","Other Waste","17 - digestate (product)",371.677
2024,"PODRAVSKA","07 05 14","Solid Wastes other than those mentioned in 07 05 13","Organic Chemical Waste","undefined","undefined","Other Waste","17 - digestate (product)",99.672
2024,"PODRAVSKA","12 01 02","Iron Dust and Particles (12 01 02)","Metal/Plastic Processing Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",12.471
2024,"PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","undefined",39.654
2024,"PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","undefined",55.319
2024,"PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","undefined",7.436
2024,"PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","20 01 40","Metals from Municipal Waste (20 01 40)","Municipal Waste","undefined",186.032
2024,"PODRAVSKA","16 01 04*","End-of-Life Vehicles (16 01 04*)","Miscellaneous Waste","undefined","undefined","Other Waste","03 – kovine: železo in jeklo",4.05
2024,"PODRAVSKA","16 03 06","Non-Hazardous Organic Wastes (16 03 06)","Miscellaneous Waste","undefined","undefined","Other Waste","17 - digestate (product)",283.091
2024,"PODRAVSKA","17 01 01","Concrete Waste (17 01 01)","Construction/Demolition Waste","undefined","undefined","Other Waste","15 – gradbeni proizvodi (razen mineralov)",1749.085
2024,"PODRAVSKA","17 03 02","Non-Hazardous Bituminous Mixtures (17 03 02)","Construction/Demolition Waste","undefined","undefined","Other Waste","15 – gradbeni proizvodi (razen mineralov)",12353.805
2024,"PODRAVSKA","19 06 06","Digestate sludge from anaerobic treatment of animal and vegetable waste (19 06 06)","Waste Treatment Residues","undefined","undefined","Other Waste","17 - digestate (product)",2055.511
2024,"PODRAVSKA","19 08 09","Other Healthcare Wastes (19 08 09)","Waste Treatment Residues","undefined","undefined","Other Waste","17 - digestate (product)",83.469
2024,"PODRAVSKA","19 09 02","Sludges from Water Clarification (19 09 02)","Waste Treatment Residues","undefined","undefined","Other Waste","17 - digestate (product)",28.687
2024,"PODRAVSKA","19 09 03","Sludges from Decarbonation (19 09 03)","Waste Treatment Residues","undefined","undefined","Other Waste","17 - digestate (product)",48.599
2024,"PODRAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",19.94
2024,"PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","undefined",55.576
2024,"PODRAVSKA","20 01 08","Biodegradable kitchen waste (20 01 08)","Municipal Waste","undefined","undefined","Other Waste","16 - compost (product)",100
2024,"PODRAVSKA","20 01 08","Biodegradable kitchen waste (20 01 08)","Municipal Waste","undefined","undefined","Other Waste","17 - digestate (product)",1061.702
2024,"PODRAVSKA","20 02 01","Biodegradable Garden and Park Waste (20 02 01)","Municipal Waste","undefined","undefined","Other Waste","16 - compost (product)",125868.64
2024,"PODRAVSKA","20 02 01","Biodegradable Garden and Park Waste (20 02 01)","Municipal Waste","undefined","undefined","Other Waste","17 - digestate (product)",48.549
2024,"PODRAVSKA","20 03 01","Mixed Municipal Waste (20 03 01)","Municipal Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","undefined",59.28
2024,"POMURSKA","02 01 06","Animal Excreta and Manure (02 01 06)","Agricultural/Forestry Waste","undefined","undefined","Other Waste","17 - digestate (product)",2002.135
2024,"POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","undefined",112.467
2024,"POMURSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",10.827
2024,"POMURSKA","15 01 06","Mixed Packaging (15 01 06)","Packaging Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","undefined",55.337
2024,"POMURSKA","19 08 05","Chemicals Requiring Infectious Hazard Precautions (19 08 05)","Waste Treatment Residues","undefined","undefined","Other Waste","17 - digestate (product)",15452
2024,"POMURSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",4.435
2024,"POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","undefined",105.813
2024,"POMURSKA","20 01 08","Biodegradable kitchen waste (20 01 08)","Municipal Waste","undefined","undefined","Other Waste","17 - digestate (product)",62.7
2024,"POMURSKA","20 02 01","Biodegradable Garden and Park Waste (20 02 01)","Municipal Waste","undefined","undefined","Other Waste","16 - compost (product)",1096.68
2024,"POMURSKA","20 03 01","Mixed Municipal Waste (20 03 01)","Municipal Waste","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","undefined",64.2
2024,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","19 12 02","Ferrous Metals from Mechanical Treatment (19 12 02)","Waste Treatment Residues","undefined",2.088
2024,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 23*","Discarded Equipment Containing CFCs (20 01 23*)","Municipal Waste","undefined",16.59
2024,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 35*","Hazardous Waste Electrical Equipment (20 01 35*)","Municipal Waste","undefined",5.246
2024,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 36","Non-Hazardous Waste Electrical Equipment (20 01 36)","Municipal Waste","undefined",12.07
2024,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","undefined",26.98
2024,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 39","Plastics from Municipal Waste (20 01 39)","Municipal Waste","undefined",117.717
2024,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 40","Metals from Municipal Waste (20 01 40)","Municipal Waste","undefined",40.06
2024,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","undefined",81.94
2024,"POSAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","03 03 07","Mechanically Separated Rejects from Pulping (03 03 07)","Wood/Paper Production Waste","undefined",3508.844
2024,"POSAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","03 03 10","Fiber Rejects and Sludge from Mechanical Separation (03 03 10)","Wood/Paper Production Waste","undefined",4583.35
2024,"POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","03 03 07","Mechanically Separated Rejects from Pulping (03 03 07)","Wood/Paper Production Waste","undefined",2749.644
2024,"POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","03 03 10","Fiber Rejects and Sludge from Mechanical Separation (03 03 10)","Wood/Paper Production Waste","undefined",3591.835
2024,"POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","19 12 12","Other Mechanically Treated Waste (19 12 12)","Waste Treatment Residues","undefined",5.18
2024,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","undefined",5.815
2024,"PRIMORSKO-NOTRANJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","undefined",12.828
2024,"PRIMORSKO-NOTRANJSKA","17 01 01","Concrete Waste (17 01 01)","Construction/Demolition Waste","undefined","undefined","Other Waste","22 - construction filler",136.8
2024,"PRIMORSKO-NOTRANJSKA","17 03 02","Non-Hazardous Bituminous Mixtures (17 03 02)","Construction/Demolition Waste","undefined","undefined","Other Waste","22 - construction filler",913.43
2024,"PRIMORSKO-NOTRANJSKA","17 05 04","Gypsum-Based Waste (17 05 04)","Construction/Demolition Waste","undefined","undefined","Other Waste","22 - construction filler",4849.62
2024,"SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","10 01 01","Ash, slag and boiler dust (excluding boiler dust listed under 10 01 04) (10 01 01)","Thermal Process Waste","undefined",0.3
2024,"SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","10 01 01","Ash, slag and boiler dust (excluding boiler dust listed under 10 01 04) (10 01 01)","Thermal Process Waste","undefined",17.7
2024,"SAVINJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",183.407
2024,"SAVINJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","10 01 01","Ash, slag and boiler dust (excluding boiler dust listed under 10 01 04) (10 01 01)","Thermal Process Waste","undefined",4.7
2024,"SAVINJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",149.411
2024,"SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","undefined",54.239
2024,"SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","undefined",122.505
2024,"SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","10 01 01","Ash, slag and boiler dust (excluding boiler dust listed under 10 01 04) (10 01 01)","Thermal Process Waste","undefined",37.9
2024,"SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","19 05 03","Compost Not Meeting Specifications (19 05 03)","Waste Treatment Residues","undefined",35.56
