"Leto","Poročilo","Šifra občine 1","Naziv občine","V mehansko-biološko obdelavo prevzeti mešani komunalni odpadki (kg)"
2024,"ODP-obdelava",203,"STRAŽA",616833
2024,"ODP-obdelava",204,"SVETA TROJICA V SLOVENSKIH GORICAH",174589
2024,"ODP-obdelava",205,"SVETI TOMAŽ",110860
2024,"ODP-obdelava",206,"ŠMARJEŠKE TOPLICE",629616
2024,"ODP-obdelava",207,"GORJE",174220
2024,"ODP-obdelava",208,"LOG-DRAGOMER",252681
2024,"ODP-obdelava",209,"REČICA OB SAVINJI",376920
2024,"ODP-obdelava",210,"SVETI JURIJ V SLOVENSKIH GORICAH",120602
2024,"ODP-obdelava",211,"ŠENTRUPERT",260766
2024,"ODP-obdelava",212,"MIRNA",256780
